ID	start	end	transcription
BP-S9-A-62	707.992	711.032	私はたぶん左 東 東のほうが
BP-S9-A-63	711.597	713.147	いいかなってちょっと思います
BP-S9-B-128	713.211	713.701	あー
BP-S9-D-40	714.479	716.197	私も東ですね
BP-S9-A-64	715.637	716.067	はい
BP-S9-B-129	716.291	717.351	東
BP-S9-D-41	717.072	717.961	他は
BP-S9-C-45	717.121	726.041	東 年配の方が多いって書いてあるんですけど 年配って結構割合が 年配って言葉が広いからって事もあるんですけど
BP-S9-D-42	720.959	721.479	うんうん
BP-S9-A-65	723.545	724.155	そうです
BP-S9-B-130	725.921	728.941	休憩所に行くっていうのは
BP-S9-B-131	729.565	735.795	正門から直接 きゅ ん 正門からこっち東の通って休憩所
BP-S9-B-132	736.247	737.337	でだけじゃなくて
BP-S9-B-133	738.297	740.197	あの奥の方
BP-S9-B-134	741.502	743.552	回ってから休憩所に行くっていう
BP-S9-B-135	744.032	745.522	人も多いと思うんです
BP-S9-A-66	745.59	745.9	はい
BP-S9-D-43	746.004	746.264	うん
BP-S9-C-46	747.796	750.386	でも こうやって書いてあるから多いんじゃないですか やっぱ
BP-S9-B-136	750.911	751.371	あー
BP-S9-B-137	751.82	754.73	でも校舎出て直接行っちゃうっていう
BP-S9-B-138	757.261	758.01	方も
BP-S9-C-47	758.255	760.455	{LAUGH}うーん
BP-S9-B-139	766.43	766.74	んー
BP-S9-A-67	780.751	782.19	多数決で決めちゃいますか
BP-S9-B-140	783.671	785.011	あ もうちょい良いですか
BP-S9-A-68	784.88	785.29	はい
BP-S9-D-44	785.179	785.851	はい
BP-S9-B-141	786.071	786.701	えーと
BP-S9-B-142	787.211	789.311	あの正門の
BP-S9-B-143	790.231	790.801	あの
BP-S9-B-144	793.54	795.1	出展してる店が
BP-S9-B-145	795.441	796.931	ほとんど揚げ物系なんですよ
BP-S9-C-48	797.311	797.751	うん
BP-S9-D-45	797.366	797.944	はい
BP-S9-D-46	798.28	798.71	そうです
BP-S9-B-146	798.705	799.885	だからここに
BP-S9-B-147	800.49	803.77	揚げ物 あえて揚げ物じゃないあの サンドウィッチ系
BP-S9-B-148	804.621	805.43	サンドウィッチとか
BP-S9-D-47	804.651	805.619	うんうん
BP-S9-C-49	804.865	805.545	うーん
BP-S9-B-149	806.471	807.371	そういうのを
BP-S9-B-150	811.481	812.121	いれたら
BP-S9-B-151	813.971	815.201	目を引くんじゃないかなと
BP-S9-C-50	815.421	816.041	うーん
BP-S9-D-48	815.713	817.244	ほー うんうん
BP-S9-B-152	816.96	818.44	でも反面あのー
BP-S9-B-153	819.085	819.745	他の
BP-S9-B-154	820.451	821.96	店とジャンルが違うから
BP-S9-B-155	822.541	827.201	周りに便乗して売り上げを稼ぐということはできなくなると思います
BP-S9-C-51	833.21	837.47	サンドウィッチって聴いたことないな でき できるんですか 生野菜って無理じゃないすか
BP-S9-B-156	840.401	840.891	あー
BP-S9-D-49	841.493	842.313	うーん
BP-S9-B-157	841.541	842.281	そうですね
BP-S9-A-69	842.665	843.305	はー
BP-S9-C-52	842.735	844.525	ま 例えばですけどサンドウィッチは うーん
BP-S9-B-158	844.056	844.296	うん
BP-S9-B-159	847.91	848.721	うーん
BP-S9-C-53	848.316	852.906	でも競合しないようにってことだったら別に東でも考えられるし
BP-S9-B-160	852.18	853.52	きょう あー
BP-S9-D-50	853.278	853.568	うん
BP-S9-C-54	854.976	857.036	ここは どっちも条件同じだと思うんですけど
BP-S9-B-161	859.335	859.805	ただ
BP-S9-B-162	860.351	860.811	あの
BP-S9-B-163	861.85	866.471	正門の方は あのー ジャンルとしては偏ってるのがありますから
BP-S9-C-55	865.155	866.261	あー そっかそっか
BP-S9-D-51	866.025	867.447	うんうん
BP-S9-A-70	880.821	881.871	あと5分です
BP-S9-C-56	882.02	882.94	まじっすか
BP-S9-B-164	882.121	883.661	はい うわー
BP-S9-D-52	883.911	884.951	ほー
BP-S9-B-165	885.651	886.521	うーん
BP-S9-D-53	886.791	887.941	うーん
BP-S9-C-57	895.065	896.085	多数決ですかね
BP-S9-B-166	895.986	897.876	多数決
BP-S9-B-167	899.585	901.585	で決められるような内容ですかね
BP-S9-B-168	902.37	904.53	まだそこまで絞りきれてないと思うですけど
BP-S9-C-58	907.65	909.7	うーん まあ決めないといけない
BP-S9-A-71	907.87	908.58	うーん
BP-S9-B-169	908.285	908.725	うーん
BP-S9-B-170	910.12	910.86	あ 鳴った
BP-S9-B-171	915.805	916.395	うーん
BP-S9-B-172	919.911	924.241	東門はジャンルがばらついてるんですよね
BP-S9-B-174	933.711	934.631	うーん
BP-S9-C-59	944.59	948.93	そうかな なんか東で例えばホットドッグとかやってもいいんじゃないですかなんか
BP-S9-B-175	948.425	949.825	あーなるほど
BP-S9-D-54	949.729	950.651	うんうん
BP-S9-C-60	949.97	953.24	ん 豚汁とかうどんってなんか持つの面倒くさいから
BP-S9-B-176	954.535	955.485	あー
BP-S9-B-177	958.685	959.195	もう
BP-S9-B-178	959.81	961.921	手に持ってそのまま食べられるタイプの
BP-S9-C-61	960.97	962.68	うーん ま 例えばですけど
BP-S9-D-55	962.265	962.855	うんうん
BP-S9-D-56	966.615	968.125	ホットドック
BP-S9-B-179	966.951	967.331	うん
BP-S9-C-62	985.22	987.35	北か東かちょっと決めないと
BP-S9-B-181	986.876	987.446	はい
BP-S9-A-72	1005.821	1007.671	ホットドッグすごいいいと思います
BP-S9-C-63	1007.451	1008.121	うーん
BP-S9-B-182	1007.691	1008.63	はー
BP-S9-A-73	1007.951	1010.431	うん 具体的なのと被ってない
BP-S9-D-57	1008.244	1008.978	うーん
BP-S9-A-74	1011.371	1011.974	思って
BP-S9-B-183	1012.22	1012.7	うん
BP-S9-B-184	1012.855	1015.295	東門でホットドッグ
BP-S9-B-185	1016.778	1019.158	ありかも ありだと思います
BP-S9-B-186	1019.383	1024.423	ただあの北でホットドッグにするとフランクフルトとソーセージが被るってのもあるんで
BP-S9-D-58	1025.072	1026.4	うんうんうん
BP-S9-B-187	1025.851	1028.631	ホットドッグやるとしたら東門 あの東の方かなと
BP-S9-B-188	1031.106	1032.106	思います
BP-S9-C-64	1045.65	1050.76	あと何があるんですかね できる奴って全然思いつかないんですけど
BP-S9-B-189	1050.611	1051.741	いやー
BP-S9-C-65	1051.83	1054.52	まあ焼きそばとかもう一個あってもいいと思いますけど
BP-S9-A-75	1054.94	1056.54	から揚げ棒とかですかね
BP-S9-C-66	1055.77	1058.75	あ 唐揚げ
BP-S9-B-190	1056.206	1056.846	あー
BP-S9-D-59	1056.801	1057.741	うんうん
BP-S9-A-76	1058.515	1059.701	から揚げ棒みたいな
BP-S9-C-67	1059.735	1060.765	あー
BP-S9-B-191	1062.126	1066.286	まあ 時期がもう少し早ければカキ氷っていう
BP-S9-C-68	1066.46	1067.351	うーん
BP-S9-B-192	1069.061	1070.651	ローコストハイリターンな
BP-S9-B-193	1074.751	1076.171	奴あったんですけどね
BP-S9-B-194	1077.101	1079.721	10月っていうとあの 程よく寒くなってくるんで
BP-S9-B-195	1092.526	1093.156	うーん
BP-S9-C-69	1097.71	1103.81	え 東でホットドッグっていうのが出て あと他に なんかから揚げ棒もありますけど
BP-S9-B-196	1102.846	1103.256	うん
BP-S9-D-60	1103.581	1103.931	うん
BP-S9-D-61	1105.014	1105.969	ふーん
BP-S9-C-70	1105.225	1109.665	北だったら なんかありますか サンドウィッチはたぶん駄目だと思うんです
BP-S9-B-197	1109.431	1109.701	うん
BP-S9-B-198	1110.975	1111.615	いやー
BP-S9-B-199	1112.32	1113.09	そうですね
BP-S9-B-200	1116.371	1118.131	あ ホットドッグ被ってますね
BP-S9-C-71	1118.865	1122.215	はい ま 北でやるとちょっともろ被りですよねフランクフルトあるし
